aX,aY,aZ,gX,gY,gZ
0.089,-0.042,0.993,2.136,0.488,0.732
0.086,-0.038,0.996,3.662,1.526,1.099
0.082,-0.021,0.999,2.197,1.038,0.854
0.078,-0.020,0.995,-0.671,0.122,0.427

-0.281,1.184,1.505,52.734,16.968,7.202
-0.354,1.441,1.543,59.937,50.415,-13.489
-0.564,1.850,1.551,47.729,66.650,-29.602
-0.639,1.997,1.493,-5.249,113.403,-59.814
-0.876,1.823,1.007,-53.528,142.944,-81.787
-0.998,0.931,0.149,-186.157,145.142,-172.974
-0.883,0.437,-0.166,-229.675,-12.512,-273.682
-0.412,-0.890,0.063,-174.316,-113.525,-299.438
0.183,-2.038,1.011,-17.822,-227.905,-267.700
0.292,-2.205,1.419,93.750,-156.799,-169.983
0.241,-1.817,1.704,122.742,-82.947,-133.545
0.165,-1.563,1.592,87.952,4.578,-98.999
0.121,-1.474,1.221,32.227,1.160,-90.698
0.300,-1.594,1.234,-51.575,-53.040,-73.059
0.367,-1.526,1.330,-37.781,-51.086,-34.180
0.292,-1.233,1.358,-21.729,-20.142,-9.094
0.105,-0.911,1.098,-20.081,32.349,30.945
0.021,-0.793,0.946,-32.776,38.818,49.194
-0.029,-0.637,0.781,-36.804,31.860,52.429
-0.029,-0.596,0.777,-36.072,10.498,58.594
-0.031,-0.528,0.840,-30.945,2.014,62.317
-0.018,-0.482,0.878,-14.893,-2.014,72.021
-0.006,-0.351,0.909,-8.545,0.916,77.942
-0.024,-0.259,0.875,-2.686,8.179,86.365
-0.018,-0.228,0.859,2.441,2.075,91.125
-0.012,-0.135,0.874,5.798,-2.930,95.215
-0.025,-0.067,0.906,12.390,-6.592,105.408
-0.072,0.098,0.980,16.785,-5.371,108.582
-0.099,0.176,1.009,25.757,0.977,102.600
-0.104,0.272,1.024,26.367,6.042,93.384
-0.090,0.283,1.002,15.381,10.315,78.369
-0.105,0.285,0.995,6.409,5.554,73.486
-0.144,0.256,0.994,6.775,4.944,68.726
-0.128,0.268,1.012,16.174,8.606,56.091
-0.058,0.295,1.014,20.569,11.658,50.415
-0.023,0.297,1.010,19.958,14.282,44.556
-0.004,0.281,1.024,17.700,15.747,45.044
-0.007,0.270,1.028,10.437,20.264,43.396
-0.007,0.241,0.994,4.150,21.973,39.063
-0.023,0.201,0.948,1.282,19.836,38.879
-0.032,0.176,0.944,-1.282,12.146,35.156
0.007,0.156,0.973,1.160,8.057,30.762
0.051,0.163,0.986,9.155,6.775,23.743
0.103,0.162,0.990,10.254,10.010,23.437
0.099,0.142,0.979,3.174,15.991,23.499
0.070,0.104,0.958,-2.136,15.198,23.071
0.041,0.064,0.958,-8.179,5.554,20.996
0.045,0.054,0.973,-7.202,-0.488,18.616
0.072,0.093,1.024,5.798,-6.470,15.259
0.086,0.110,1.042,17.395,2.747,13.245
0.104,0.117,1.033,16.235,7.629,11.719
0.106,0.103,1.011,3.113,8.484,9.216
0.088,0.065,0.969,-3.662,5.066,9.094
0.069,0.052,0.963,-6.714,-1.099,8.972
0.066,0.024,0.972,-3.174,-2.686,7.812
0.080,0.020,0.987,7.996,-3.540,6.653
0.100,0.031,1.019,13.489,-1.892,6.714
0.084,0.044,1.018,17.517,2.563,6.287
0.072,0.045,1.009,7.385,-0.366,2.441
0.064,0.016,1.000,0.488,-4.761,0.000
0.066,-0.002,1.005,-3.967,-10.620,-2.014
0.077,-0.030,1.014,-1.160,-10.193,-1.770
0.078,-0.038,1.014,6.531,-6.226,-0.244
0.071,-0.050,1.020,8.850,-4.761,-0.122
0.071,-0.051,1.032,8.545,-4.395,-0.854
0.068,-0.047,1.054,6.592,-4.150,-1.587
0.080,-0.063,1.039,1.343,-1.892,-3.296
0.086,-0.070,1.023,-1.526,0.000,-2.014
0.082,-0.073,0.995,-0.977,0.793,-0.732
0.080,-0.073,0.985,1.648,1.465,0.366
0.086,-0.064,0.986,2.014,0.793,0.488
0.088,-0.054,0.990,1.587,0.122,0.427
0.081,-0.043,0.983,1.343,0.610,0.061
0.081,-0.049,0.972,0.183,0.366,-1.404
0.081,-0.066,0.970,0.061,-0.854,-1.404
0.092,-0.063,0.994,1.282,-3.357,-0.427
0.089,-0.060,0.998,3.174,-1.831,1.099
0.076,-0.056,0.994,4.272,-0.793,1.526
0.072,-0.051,0.995,5.676,-0.610,1.770
0.067,-0.047,1.012,6.226,-0.916,0.183
0.075,-0.052,1.021,5.310,-1.343,-0.671
0.079,-0.057,1.025,2.686,-0.854,-1.404
0.079,-0.062,1.021,1.892,0.000,-1.709
0.079,-0.065,1.016,-0.671,0.427,-2.136
0.081,-0.077,1.008,-1.465,0.000,-1.892
0.094,-0.082,1.004,0.488,0.427,-0.854
0.099,-0.079,1.003,3.296,2.197,1.404
0.096,-0.067,0.998,4.456,3.418,2.319
0.088,-0.059,0.995,5.920,5.920,3.540
0.074,-0.046,0.985,5.615,6.348,3.113
0.076,-0.054,0.976,2.075,3.723,0.916
0.084,-0.064,0.977,-1.953,-1.282,0.183
0.092,-0.078,0.989,-1.648,-2.441,1.099
0.089,-0.077,0.996,3.296,-0.793,2.808
0.082,-0.067,1.002,5.188,0.671,2.991
0.078,-0.059,1.003,4.089,1.221,2.014
0.073,-0.055,1.006,2.014,0.488,1.038
0.077,-0.061,1.007,-2.014,-1.099,-0.305
0.084,-0.073,1.009,-2.686,-1.282,-0.366
0.085,-0.075,1.005,-0.916,0.244,0.244
0.086,-0.073,1.003,-0.366,1.831,0.977
0.089,-0.065,0.995,-1.099,2.136,1.221
0.087,-0.062,0.987,-2.441,1.892,1.160
0.083,-0.058,0.978,-2.625,1.465,0.610
0.085,-0.061,0.975,-2.197,0.061,-0.610
0.093,-0.068,0.977,-1.404,-0.366,-0.488
0.095,-0.069,0.981,0.305,-0.427,1.099
0.092,-0.067,0.988,1.160,-0.061,2.014
0.090,-0.063,0.990,2.075,0.366,2.686
0.083,-0.055,0.991,3.235,0.793,2.869
0.078,-0.053,0.992,2.991,0.732,2.258
0.077,-0.053,1.000,0.488,-1.404,0.610
0.075,-0.053,1.008,-1.526,-2.808,0.183
0.076,-0.060,1.007,-1.526,-2.319,0.183
0.074,-0.061,1.004,-0.122,-1.038,1.587
0.072,-0.051,1.004,0.793,-0.244,1.831
0.073,-0.048,0.997,1.038,1.038,0.671
0.074,-0.052,0.991,-0.610,0.122,-1.160
0.083,-0.062,0.990,-1.770,-0.854,-2.075

-0.338,1.209,1.210,94.421,66.833,25.696
-0.382,1.303,1.276,50.537,30.884,-24.536
-0.415,1.488,1.428,26.184,15.991,-56.030
-0.508,1.434,1.378,-19.104,25.635,-108.154
-0.575,1.216,1.244,-87.952,45.044,-164.062
-0.627,0.380,0.812,-138.245,31.921,-196.045
-0.546,-0.051,0.613,-238.831,-41.504,-239.258
-0.284,-0.739,0.436,-253.052,-83.984,-242.432
0.001,-1.723,0.647,-157.410,-123.535,-233.887
0.218,-2.256,0.848,36.255,-77.942,-187.805
0.428,-2.348,1.288,124.207,-43.640,-144.104
0.412,-2.101,1.406,172.791,6.897,-84.778
0.475,-1.811,1.443,122.070,0.732,-74.646
0.502,-1.729,1.399,-14.771,-46.204,-30.029
0.333,-1.469,1.253,-52.185,-50.720,3.601
0.191,-1.267,1.155,-44.250,-12.085,53.955
-0.070,-0.876,0.962,-26.062,11.169,67.444
-0.143,-0.730,0.893,-4.333,29.175,77.515
-0.179,-0.589,0.862,-11.108,12.695,78.857
-0.144,-0.520,0.915,-21.057,1.465,81.177
-0.125,-0.480,0.939,-30.945,-10.254,88.867
-0.095,-0.354,0.951,-24.902,-10.376,92.529
-0.080,-0.285,0.936,-8.728,0.732,98.999
-0.068,-0.134,0.896,-4.700,3.723,102.234
-0.087,-0.041,0.871,-2.197,-2.075,107.788
-0.132,0.115,0.862,-2.686,-7.874,107.178
-0.168,0.234,0.902,0.366,-20.203,101.440
-0.185,0.280,0.936,12.207,-28.687,92.896
-0.197,0.341,1.014,18.799,-30.457,87.158
-0.203,0.348,1.042,28.931,-26.917,75.073
-0.190,0.347,1.087,31.616,-21.057,69.031
-0.170,0.338,1.099,32.043,-10.010,58.472
-0.134,0.324,1.088,29.846,-6.592,53.467
-0.118,0.312,1.069,20.691,0.122,45.227
-0.104,0.269,1.040,15.198,2.808,42.053
-0.101,0.239,1.029,8.301,7.385,34.241
-0.072,0.167,1.000,7.202,10.437,30.273
-0.045,0.089,0.967,7.385,16.907,25.757
-0.026,0.054,0.954,7.996,17.883,23.560
-0.005,0.028,0.951,10.010,13.611,19.348
0.024,0.027,0.982,10.437,9.644,18.738
0.010,0.061,1.023,12.268,7.019,19.592
-0.008,0.068,1.032,14.282,10.254,20.325
-0.014,0.085,1.023,15.503,17.090,19.104
-0.017,0.095,1.013,8.606,15.686,15.747
-0.014,0.093,0.996,2.502,13.977,12.024
-0.004,0.072,0.982,-8.728,6.165,2.380
0.030,0.003,0.961,-12.329,-0.061,-0.732
0.049,-0.021,0.971,-10.925,-9.583,0.854
0.063,-0.037,1.009,-5.188,-9.460,4.028
0.059,-0.028,1.025,10.315,1.099,8.606
0.048,-0.005,1.034,16.235,7.507,9.277
0.039,0.005,1.029,15.869,11.963,7.385
0.026,0.028,1.013,9.583,9.033,5.188
0.023,0.001,0.992,-7.263,-0.244,-0.122
0.028,-0.034,0.981,-13.245,-5.310,-2.319
0.048,-0.090,0.972,-9.155,-5.493,-1.282
0.051,-0.094,0.981,6.287,-1.587,3.357
0.041,-0.070,0.999,12.024,1.221,4.822
